chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT05974475. Study Title: MONDRIAN: Multi-omics Integrative Modelling for Stereotactic Body Radiotherapy in Early-stage Non-small Cell Lung Cancer. Sponsor: European Institute of Oncology. Condition or Disease: Lung Neoplasm Malignant. Intervention or Drug or Treatment: RADIATION: SBRT|PROCEDURE: Surgery. Phase: . Study Status: RECRUITING. Enrollment: 270.0. Summary: Stereotactic Body Radiotherapy (SBRT) is a form of high-precision radiotherapy playing a major role in patients diagnosed with early-stage non-small cell lung cancer (NSLCL), especially when surgery cannot be performed. It is a non-invasive, well-tolerated treatment, with an excellent ability to control disease recurrence. However, in some patients, disease response is suboptimal: understanding why this happens may open doors to more aggressive approaches, such as the combination with systemic therapies.
Hence, the goal of this observational trial is to understand which clinical, imaging, and biological factors are associated with response to SBRT through the development of complex models. In other words, the main question it aims to answer is: ""Will this patient respond to radiation treatment based on the characteristics of their disease?"".
Participants will be treated according to the best clinical practice standards, in agreement with international, national, and internal guidelines.
Researchers will compare data collected from patients treated with SBRT with those collected from a similar group of patients, who will be treated with surgery, to see which factors are actual predictors of response to SBRT, or rather are indicators of more or less aggressive disease behavior.. ",NCT05974475,Lung Neoplasm Malignant,,RECRUITING,270.0,European Institute of Oncology,RADIATION: SBRT|PROCEDURE: Surgery,2023,2028
"NCT Number: NCT05393466. Study Title: BPI-361175 Tablets in Patients With Advanced Non-Small Cell Lung Cancer (NSCLC). Sponsor: Xcovery Holdings, Inc.. Condition or Disease: Non-small Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: BPI-361175. Phase: PHASE1|PHASE2. Study Status: NOT_YET_RECRUITING. Enrollment: 30.0. Summary: This is a three-stage study, consisting of Phase Ia dose-escalation, Phase Ib dose expansion, and a Phase II component.. ",NCT05393466,Non-small Cell Lung Carcinoma,PHASE1|PHASE2,NOT_YET_RECRUITING,30.0,"Xcovery Holdings, Inc.",DRUG: BPI-361175,2026,2029
"NCT Number: NCT03824977. Study Title: Prognostic Value of the 6-minute Stepper Test in Non-small Cell Lung Cancer Surgery. Sponsor: University Hospital, Rouen. Condition or Disease: Lung Neoplasm Malignant|Resectable Lung Non-Small Cell Carcinoma. Intervention or Drug or Treatment: DIAGNOSTIC_TEST: Six minutes stepper test (6MST)|DIAGNOSTIC_TEST: Sit to stand test (STST). Phase: . Study Status: COMPLETED. Enrollment: 122.0. Summary: The objective of this study is to evaluate the performances of the Six-Minute Stepper Test (6MST) and Sit To Stand test (STST) to predict post-operative complications after minimally invasive lung cancer resection.. ",NCT03824977,Lung Neoplasm Malignant|Resectable Lung Non-Small Cell Carcinoma,,COMPLETED,122.0,"University Hospital, Rouen",DIAGNOSTIC_TEST: Six minutes stepper test (6MST)|DIAGNOSTIC_TEST: Sit to stand test (STST),2018,2020
"NCT Number: NCT00132639. Study Title: Study of Preoperative Docetaxel or Cisplatin (CDDP) + Docetaxel for C-stage IB-II Non-Small Cell Lung Cancer (NSCLC). Sponsor: Haruhiko Fukuda. Condition or Disease: Pulmonary Neoplasms. Intervention or Drug or Treatment: DRUG: Preoperative docetaxel-cisplatin combination chemotherapy|DRUG: Preoperative docetaxel monotherapy. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 80.0. Summary: The purpose of this study is to evaluate the safety and efficacy of the preoperative docetaxel and docetaxel-cisplatin combination in c-stage IB/II NSCLC, and select the optimal preoperative therapy for phase III trials.. ",NCT00132639,Pulmonary Neoplasms,PHASE2,COMPLETED,80.0,Haruhiko Fukuda,DRUG: Preoperative docetaxel-cisplatin combination chemotherapy|DRUG: Preoperative docetaxel monotherapy,2002,2008
"NCT Number: NCT04762459. Study Title: Efficacy and Safety of Almonertinib Combined With or Without Chemotherapy as an Adjuvant Treatment for Stage II-IIIA Non-small Cell Lung Carcinoma Following Complete Tumour Resection. Sponsor: Chinese Academy of Medical Sciences. Condition or Disease: Non-small Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: Almonertinib|DRUG: Pemetrexed|DRUG: Cisplatin. Phase: PHASE3. Study Status: ENROLLING_BY_INVITATION. Enrollment: 606.0. Summary: This is a multicenter, randomized, open label, phase III study.. ",NCT04762459,Non-small Cell Lung Carcinoma,PHASE3,ENROLLING_BY_INVITATION,606.0,Chinese Academy of Medical Sciences,DRUG: Almonertinib|DRUG: Pemetrexed|DRUG: Cisplatin,2021,2029
"NCT Number: NCT06282991. Study Title: A Study to Learn About Lorlatinib in Patients With Non-Small Cell Lung Cancer Which Could Not Be Controlled. Sponsor: Pfizer. Condition or Disease: Non-Small Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: Lorlatinib. Phase: . Study Status: COMPLETED. Enrollment: 73.0. Summary: The purpose of this study is to learn about lorlatinib for the possible treatment of lung cancer which could not be controlled.
This study is seeking participants who:
* have lung cancer that could not be controlled.
* have a type of gene called anaplastic lymphoma kinase. A gene is a part of your DNA that has instructions for making things your body needs to work.
* have received at least 1 treatment before.
All participants in this study had received lorlatinib. Lorlatinib is a tablet that is taken by mouth at home. They continued to take dacomitinib until their cancer was no longer responding. The study will look at the experiences of people receiving the study medicine. This will help to see if the study medicine is safe and effective.. ",NCT06282991,Non-Small Cell Lung Carcinoma,,COMPLETED,73.0,Pfizer,DRUG: Lorlatinib,2020,2021
"NCT Number: NCT06788912. Study Title: Pembrolizumab (MK-3475) Plus Investigational Agents in Resectable Non-small Cell Lung Cancer (NSCLC) (MK-3475-01E/KEYMAKER-U01). Sponsor: Merck Sharp & Dohme LLC. Condition or Disease: Lung Neoplasm Malignant. Intervention or Drug or Treatment: BIOLOGICAL: Pembrolizumab (neoadjuvant)|DRUG: Cisplatin|DRUG: Gemcitabine|DRUG: Pemetrexed|DRUG: Sacituzumab tirumotecan|DRUG: H1 receptor antagonist|DRUG: H2 receptor antagonist|DRUG: Acetaminophen (or equivalent)|DRUG: Dexamethasone (or equivalent)|DRUG: Carboplatin|BIOLOGICAL: Pembrolizumab (adjuvant)|DRUG: Paclitaxel|DRUG: Steroid mouthwash (dexamethasone or equivalent). Phase: PHASE2. Study Status: RECRUITING. Enrollment: 60.0. Summary: The main goals are after treatment given before surgery, to measure the number of people who have no signs of cancer cells in tumors and lymph nodes removed during surgery; and to learn about whether the cancer gets smaller or goes away by measuring the number of people with a certain number of living cancer cells in the tumor removed during surgery.. ",NCT06788912,Lung Neoplasm Malignant,PHASE2,RECRUITING,60.0,Merck Sharp & Dohme LLC,BIOLOGICAL: Pembrolizumab (neoadjuvant)|DRUG: Cisplatin|DRUG: Gemcitabine|DRUG: Pemetrexed|DRUG: Sacituzumab tirumotecan|DRUG: H1 receptor antagonist|DRUG: H2 receptor antagonist|DRUG: Acetaminophen (or equivalent)|DRUG: Dexamethasone (or equivalent)|DRUG: Carboplatin|BIOLOGICAL: Pembrolizumab (adjuvant)|DRUG: Paclitaxel|DRUG: Steroid mouthwash (dexamethasone or equivalent),2025,2032
"NCT Number: NCT04853342. Study Title: To Assess the Efficacy and Safety of Furmonertinib Versus Placebo, in Patients With Epidermal Growth Factor Receptor Mutation Positive Stage II-IIIA Non-small Cell Lung Carcinoma, Following Complete Tumour Resection With or Without Adjuvant Chemotherapy. Sponsor: Allist Pharmaceuticals, Inc.. Condition or Disease: Non-small Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: Drug: Furmonertinib 80 mg|DRUG: Furmonertinib 80 mg placebo. Phase: PHASE3. Study Status: RECRUITING. Enrollment: 318.0. Summary: This is a phase 3 double-blind, randomized, placebo-controlled, study to assess the efficacy and safety of Furmonertinib (AST2818) versus placebo in patients with stage II-IIIA non-small cell lung cancer (NSCLC) with centrally confirmed, most common sensitising EGFR mutations (Ex19Del and L858R) either alone or in combination with other EGFR mutations as confirmed by a central test, who have had complete tumour resection, with or without postoperative adjuvant chemotherapy.. ",NCT04853342,Non-small Cell Lung Carcinoma,PHASE3,RECRUITING,318.0,"Allist Pharmaceuticals, Inc.",DRUG: Drug: Furmonertinib 80 mg|DRUG: Furmonertinib 80 mg placebo,2021,2030
"NCT Number: NCT02224547. Study Title: Risk-adapted Stereotactic Body Radiotherapy for Early Non-Small Cell Lung Cancer Using the VERO Stereotactic Body Radio Therapy System. Sponsor: Universitair Ziekenhuis Brussel. Condition or Disease: Non-Small Cell Lung Carcinoma. Intervention or Drug or Treatment: RADIATION: Radiotherapy (Fractionated stereotactic body radiation). Phase: PHASE2. Study Status: UNKNOWN. Enrollment: 58.0. Summary: The purpose of this study is to perform prospective data analysis on tumor response in terms of local tumor control after 2 years, potential acute and late toxicity and survival in patients with non-metastatic, non-small-cell lung cancer treated by radiotherapy that are medically inoperable due to coexisting comorbidities or that refuse surgery. SBRT regimens used will be 4 fractions of 12 Gy or 3 fractions of 17 Gy depending on tumor location in a risk-adapted approach.. ",NCT02224547,Non-Small Cell Lung Carcinoma,PHASE2,UNKNOWN,58.0,Universitair Ziekenhuis Brussel,RADIATION: Radiotherapy (Fractionated stereotactic body radiation),2013,
"NCT Number: NCT02985203. Study Title: Oral Navelbine and Cisplatin Followed by Metronomic Oral Navelbine in Non-Small Cell Lung Cancer. Sponsor: Guangdong Association of Clinical Trials. Condition or Disease: Lung Neoplasm Malignant. Intervention or Drug or Treatment: DRUG: Vinorelbine Oral. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 45.0. Summary: This is an open-label, multi-center clinical trial, aims to evaluate the efficacy and safety of combination of oral Navelbine and Cisplatin followed by metronomic oral Navelbine in Patients with advanced Non-Small Cell Lung Cancer.
The study comprises two stages. In the 1st stage (Week 1-12), all patients will receive combination chemotherapy. In the 2nd stage (Week 13-25), patients who complete the combination chemotherapy with acceptable tolerance and have no progressive disease (PD) will be allocated into 2 arms, to evaluate the efficacy and safety of maintenance chemotherapy with metronomic oral Navelbine (Arm A) or other regimen (Arm B).. ",NCT02985203,Lung Neoplasm Malignant,PHASE2,TERMINATED,45.0,Guangdong Association of Clinical Trials,DRUG: Vinorelbine Oral,2016,2018
"NCT Number: NCT00078455. Study Title: Study of ILX651 in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Carcinoma. Sponsor: Genzyme, a Sanofi Company. Condition or Disease: Non-Small-Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: ILX651. Phase: PHASE2. Study Status: COMPLETED. Enrollment: . Summary: This is a Phase II, non-randomized, open label study of ILX651 in patients with locally advanced or metastatic non-small cell lung carcinoma (NSCLC). Approximately 60 patients will be enrolled in this study that is expected to last 18 months. All patients will be treated with ILX651 administered intravenously (IV) daily for 5 consecutive days once every 21 days. The primary objective of this study is to determine the overall response rate. The secondary objectives are to determine the progression free survival, duration of response, time to tumor progression, survival, safety/tolerability of ILX651, and to evaluate pharmacokinetic profile.. ",NCT00078455,Non-Small-Cell Lung Carcinoma,PHASE2,COMPLETED,,"Genzyme, a Sanofi Company",DRUG: ILX651,2003,2005
"NCT Number: NCT00759382. Study Title: Prognostic Role of Primary Non Small Cell Lung Carcinoma Standardized F18-FDG Uptake Values (SUV and TLG) Measured With F18-fluorodeoxyglucose Positron Emission Tomography (F18-FDG-PET): a Non Interventional Study.. Sponsor: European Lung Cancer Working Party. Condition or Disease: Non Small Cell Lung Carcinoma. Intervention or Drug or Treatment: . Phase: . Study Status: UNKNOWN. Enrollment: 340.0. Summary: The primary aim of this non interventional study is to assess the independent prognostic role on overall survival of primary tumour 18F-FDG uptake value (SUVmax) measured on 18fluorodeoxyglucose positron emission tomography (18F-FDG-PET) in patients with non-metastatic non-small cell lung cancers treated with curative intent, taking into account the other conventional prognostic factors (performance status, age, sex, disease stage).. ",NCT00759382,Non Small Cell Lung Carcinoma,,UNKNOWN,340.0,European Lung Cancer Working Party,,2008,2022
"NCT Number: NCT05299125. Study Title: Amivantamab, Lazertinib, and Pemetrexed for First-line Treatment of Recurrent/Metastatic Non-small Cell Lung Cancers With Epidermal Growth Factor Receptor Mutations. Sponsor: Latin American Cooperative Oncology Group. Condition or Disease: Metastatic Non-small Cell Lung Cancers. Intervention or Drug or Treatment: DRUG: Amivantamab|DRUG: Lazertinib|DRUG: Pemetrexed 500 mg. Phase: PHASE2. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 54.0. Summary: This is a phase II, single-arm, multicenter trial, conducted through Latin American Coorperative Oncology Group (LACOG). Treatment-naïve patients with recurrent/metastatic NSCLCs harboring EGFR exon 19 deletions or exon 21 L858R point mutations will be enrolled. At baseline, an archival or (optional) new tissue sample will be obtained for biomarker evaluation, as well as liquid biopsies. Treatment will continue until disease progression or unacceptable toxicity.. ",NCT05299125,Metastatic Non-small Cell Lung Cancers,PHASE2,ACTIVE_NOT_RECRUITING,54.0,Latin American Cooperative Oncology Group,DRUG: Amivantamab|DRUG: Lazertinib|DRUG: Pemetrexed 500 mg,2023,2027
"NCT Number: NCT06772623. Study Title: Study to Evaluate Adverse Events and Efficacy of Intravenous (IV) Telisotuzumab Adizutecan in Combination With a PD-1 Immune Checkpoint Inhibitor in Adult Participants With Advanced or Metastatic Non-Squamous NSCLC With No Prior Treatment for Advanced Disease, and No Actionable Genomic Alterations. Sponsor: AbbVie. Condition or Disease: Non Small Cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: Telisotuzumab Adizutecan|DRUG: Budigalimab|DRUG: Pembrolizumab|DRUG: Pembrolizumab|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Cisplatin. Phase: PHASE1|PHASE2. Study Status: RECRUITING. Enrollment: 252.0. Summary: Non small cell lung carcinoma (NSCLC) is the most frequently occurring histologic subtype of lung cancer and is the leading cause of cancer-related deaths worldwide. The purpose of this study is to assess adverse events and change in disease activity when Telisotuzumab Adizutecan (ABBV-400) is given in combination with a programmed cell death receptor 1 (PD1) immune checkpoint inhibitor to adult participants to treat NSCLC. Telisotuzumab Adizutecan (ABBV-400) and budigalimab are investigational drugs being developed for the treatment of NSCLC. This study will be divided into two stages, with the first stage treating participants with several doses of telisotuzumab adizutecan in combination with budigalimab within the dose escalation regimen until the dose reached is tolerable and expected to be efficacious. In Stage 2 there will be 3 treatment groups. Two groups will receive pembrolizumab with different optimized doses of telisotuzumab adizutecan (to allow for the best dose to be studied in the future). One group will receive the standard of care (SOC) - pembrolizumab, pemetrexed, and investigator's choice of carboplatin or cisplatin,",NCT06772623,Non Small Cell Lung Carcinoma,PHASE1|PHASE2,RECRUITING,252.0,AbbVie,DRUG: Telisotuzumab Adizutecan|DRUG: Budigalimab|DRUG: Pembrolizumab|DRUG: Pembrolizumab|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Cisplatin,2025,2027
"allow for the best dose to be studied in the future). One group will receive the standard of care (SOC) - pembrolizumab, pemetrexed, and investigator's choice of carboplatin or cisplatin, followed by pembrolizumab and pemetrexed. Approximately 252 adult participants with NSCLC will be enrolled in the study in 132 sites worldwide. In the dose escalation stage participants will be treated with increasing intravenous (IV) doses of Telisotuzumab Adizutecan in combination with budigalimab until the dose of Telisotuzumab Adizutecan reached is tolerable and expected to be efficacious. In the dose optimization stage participants will be receive IV optimized doses of Telisotuzumab Adizutecan in combination with IV pembrolizumab, or IV SOC - pembrolizumab, pemetrexed, and investigator's choice of carboplatin or cisplatin, followed by pembrolizumab and pemetrexed. The study will run for a duration of approximately 33 months. There may be higher treatment burden for participants in this trial compared to their standard of care. Participants will attend regular visits during the study at an approved institution (hospital or clinic). The effect of the treatment will be frequently checked by medical assessments, blood tests, questionnaires and side effects..",NCT06772623,Non Small Cell Lung Carcinoma,PHASE1|PHASE2,RECRUITING,252.0,AbbVie,DRUG: Telisotuzumab Adizutecan|DRUG: Budigalimab|DRUG: Pembrolizumab|DRUG: Pembrolizumab|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Cisplatin,2025,2027
"NCT Number: NCT05869162. Study Title: Phase II Study of SY-3505 in Patients With ALK-positive NSCLC Who Have Failed Prior Second-Generation ALK TKI. Sponsor: Shouyao Holdings (Beijing) Co. LTD. Condition or Disease: Non-small-cell Lung Carcinoma. Intervention or Drug or Treatment: DRUG: SY-3505. Phase: PHASE2. Study Status: UNKNOWN. Enrollment: 153.0. Summary: This is an open-label, single-arm, multicenter, phase II study to evaluate the efficacy and safety of SY-3505 capsule in patients with locally advanced or metastatic NSCLC who have progressed on or are intolerant to second-generation ALK tyrosine kinase inhibitor (TKI).. ",NCT05869162,Non-small-cell Lung Carcinoma,PHASE2,UNKNOWN,153.0,Shouyao Holdings (Beijing) Co. LTD,DRUG: SY-3505,2023,2025
"NCT Number: NCT02762877. Study Title: Concordance of Key Actionable Genomic Alterations as Assessed in Tumor Tissue and Plasma in Non Small Cell Lung Cancer. Sponsor: Genomic Health®, Inc.. Condition or Disease: Non Small Cell Lung Carcinoma. Intervention or Drug or Treatment: . Phase: . Study Status: TERMINATED. Enrollment: 140.0. Summary: A study to determine the concordance of key actionable genomic alterations as assessed in tumor tissue and plasma from patients with non small cell lung carcinoma (NSCLC). ",NCT02762877,Non Small Cell Lung Carcinoma,,TERMINATED,140.0,"Genomic Health®, Inc.",,2016,2019
"NCT Number: NCT00727350. Study Title: Protocol for Primary Fractionated Stereotactic Body Radiation Therapy for Stage T1 - T3N0 Non Small Cell Lung Carcinoma.. Sponsor: AZ-VUB. Condition or Disease: Non Small Cell Lung Carcinoma. Intervention or Drug or Treatment: RADIATION: Fractionated stereotactic body radiation therapy. Phase: PHASE2. Study Status: UNKNOWN. Enrollment: 44.0. Summary: The study population will exist of patients with a histological diagnosis of NSCLC, stage T1, T2 or T3NO who are not fit for or who refuse surgery. A prospective data analysis will be performed on tumor response, potential acute and late toxicity and survival. A radiotherapy dose of 4x15Gy or 3x 20Gy will be given over 2 weeks with dynamic 3D-conformal arc therapy (Novalis TM). ",NCT00727350,Non Small Cell Lung Carcinoma,PHASE2,UNKNOWN,44.0,AZ-VUB,RADIATION: Fractionated stereotactic body radiation therapy,2007,2012
